,esp,fecha,nota,legajo,materia,nombre_de_,ingr,Carrera,Recibido
3173,32,06-Aug-99,5,10231,123,Matemática General,1999.0,Indeterminado,Ndeah
3174,32,06-Aug-99,5,10231,123,Matemática General,1999.0,Indeterminado,Ndeah
3176,32,02-Aug-00,8,10231,124,Química General,1999.0,Indeterminado,Ndeah
3181,32,15-Mar-00,8,10231,127,Química Inorgánica,1999.0,Indeterminado,Ndeah
3275,32,17-Dec-99,5,10343,121,Industrias Alimentarias I,1999.0,Indeterminado,Ndeah
3276,32,20-Oct-99,2,10343,124,Química General,1999.0,Indeterminado,Ndeah
3277,32,10-Dec-99,6,10351,121,Industrias Alimentarias I,1999.0,Indeterminado,Ndeah
3278,32,13-Dec-00,4,10351,122,Biología General,1999.0,Indeterminado,Ndeah
3279,32,07-Dec-00,4,10351,123,Matemática General,1999.0,Indeterminado,Ndeah
3280,32,09-Dec-99,2,10351,124,Química General,1999.0,Indeterminado,Ndeah
3283,32,12-Mar-01,5,10351,124,Química General,1999.0,Indeterminado,Ndeah
3285,32,29-Nov-00,7,10351,230,Legislación Sanitaria,1999.0,Indeterminado,Ndeah
3388,32,02-Aug-99,4,10424,122,Biología General,1999.0,Indeterminado,Ndeah
3409,32,02-Aug-99,5,10455,122,Biología General,1999.0,Indeterminado,Ndeah
3410,32,16-Jul-99,4,10455,123,Matemática General,1999.0,Indeterminado,Ndeah
3415,32,02-Aug-99,4,10463,122,Biología General,1999.0,Indeterminado,Ndeah
3416,32,16-Jul-99,7,10463,123,Matemática General,1999.0,Indeterminado,Ndeah
3417,32,16-Jul-99,7,10463,123,Matemática General,1999.0,Indeterminado,Ndeah
3418,32,04-Aug-99,9,10463,124,Química General,1999.0,Indeterminado,Ndeah
3419,32,04-Aug-99,9,10463,124,Química General,1999.0,Indeterminado,Ndeah
3420,32,28-Feb-01,4,10463,127,Química Inorgánica,1999.0,Indeterminado,Ndeah
3538,32,17-Dec-99,7,10591,121,Industrias Alimentarias I,1999.0,Indeterminado,Ndeah
3539,32,02-Aug-99,4,10591,122,Biología General,1999.0,Indeterminado,Ndeah
3540,32,02-Aug-99,5,10610,122,Biología General,1999.0,Indeterminado,Ndeah
3541,32,02-Aug-99,5,10610,122,Biología General,1999.0,Indeterminado,Ndeah
3542,32,06-Aug-99,2,10610,123,Matemática General,1999.0,Indeterminado,Ndeah
3543,32,06-Aug-99,2,10610,123,Matemática General,1999.0,Indeterminado,Ndeah
3544,32,17-Dec-99,6,10625,121,Industrias Alimentarias I,1999.0,Indeterminado,Ndeah
3545,32,02-Aug-99,3,10625,122,Biología General,1999.0,Indeterminado,Ndeah
3546,32,18-Oct-99,5,10625,122,Biología General,1999.0,Indeterminado,Ndeah
3547,32,06-Aug-99,2,10625,123,Matemática General,1999.0,Indeterminado,Ndeah
3548,32,22-Oct-99,6,10625,123,Matemática General,1999.0,Indeterminado,Ndeah
3551,32,08-Aug-01,4,10625,124,Química General,1999.0,Indeterminado,Ndeah
3552,32,10-Dec-01,4,10625,125,Economía General,1999.0,Indeterminado,Ndeah
3553,32,15-Dec-99,2,10625,127,Química Inorgánica,1999.0,Indeterminado,Ndeah
3555,32,09-Oct-02,5,10625,230,Legislación Sanitaria,1999.0,Indeterminado,Ndeah
3609,84,10-Dec-99,5,10695,121,Introducción a la Producción Agraria,1999.0,Indeterminado,Ndeah
3638,32,16-Mar-01,8,10714,121,Industrias Alimentarias I,2000.0,Indeterminado,Ndeah
3641,32,12-Mar-01,8,10714,124,Química General,2000.0,Indeterminado,Ndeah
3695,32,15-Dec-00,8,10776,121,Industrias Alimentarias I,2000.0,Indeterminado,Ndeah
3755,34,27-Nov-00,5,10896,111,Inglés I,2000.0,Indeterminado,Ndeah
3761,34,01-Dec-00,9,10896,128,Metodología de la Investigación,2000.0,Indeterminado,Ndeah
3822,34,14-Mar-01,2,10962,121,Programación I,2000.0,Indeterminado,Ndeah
3828,34,18-Jul-01,6,10962,232,Organización Empresarial,2000.0,Indeterminado,Ndeah
4019,84,10-Jul-00,5,11111,101,Álgebra y Geometría(Plan 95),2000.0,Indeterminado,Ndeah
4020,84,04-Aug-00,6,11111,102,Análisis Matemático,2000.0,Indeterminado,Ndeah
4140,34,05-Aug-02,0,11150,123,Matemática,2000.0,Indeterminado,Ndeah
4141,84,31-Jul-00,4,11150,101,Álgebra y Geometría(Plan 95),2000.0,Indeterminado,Ndeah
4142,84,04-Aug-00,2,11150,121,Introducción a la Producción Agraria,2000.0,Indeterminado,Ndeah
4165,84,31-Jul-00,4,11181,101,Álgebra y Geometría(Plan 95),2000.0,Indeterminado,Ndeah
4168,84,02-Oct-00,5,11200,101,Álgebra y Geometría(Plan 95),2000.0,Indeterminado,Ndeah
4169,84,14-Jul-00,2,11200,121,Introducción a la Producción Agraria,2000.0,Indeterminado,Ndeah
4170,84,04-Aug-00,4,11200,121,Introducción a la Producción Agraria,2000.0,Indeterminado,Ndeah
4562,84,14-Jul-00,7,11304,121,Introducción a la Producción Agraria,2000.0,Indeterminado,Ndeah
4563,84,06-Oct-00,2,11312,121,Introducción a la Producción Agraria,2000.0,Indeterminado,Ndeah
4564,84,02-Oct-00,4,11320,101,Álgebra y Geometría(Plan 95),2000.0,Indeterminado,Ndeah
4566,84,06-Oct-00,5,11320,121,Introducción a la Producción Agraria,2000.0,Indeterminado,Ndeah
4567,84,11-May-01,2,11320,122,Producción Agraria I,2000.0,Indeterminado,Ndeah
4568,84,20-Jul-01,2,11320,122,Producción Agraria I,2000.0,Indeterminado,Ndeah
4676,81,02-Aug-00,9,11366,122,Química,2000.0,Indeterminado,Ndeah
4677,81,10-Jul-00,8,11366,123,Álgebra,2000.0,Indeterminado,Ndeah
4678,81,04-Aug-00,2,11374,121,Análisis Matemático,2000.0,Indeterminado,Ndeah
4684,81,06-Dec-00,5,11374,127,Informática I,2000.0,Indeterminado,Ndeah
4768,34,16-Dec-02,2,11416,111,Inglés I,2000.0,Indeterminado,Ndeah
4770,34,10-Oct-02,2,11416,121,Programación I,2000.0,Indeterminado,Ndeah
4771,34,12-Dec-02,2,11416,121,Programación I,2000.0,Indeterminado,Ndeah
4773,34,10-Jul-02,5,11416,124,Laboratorio de Computación I,2000.0,Indeterminado,Ndeah
4777,81,31-Jul-00,2,11424,123,Álgebra,2000.0,Indeterminado,Ndeah
4988,34,06-Aug-01,6,11513,111,Inglés I,2001.0,Indeterminado,Ndeah
4989,34,11-Feb-02,2,11513,112,Inglés II,2001.0,Indeterminado,Ndeah
4990,34,25-Feb-02,6,11513,112,Inglés II,2001.0,Indeterminado,Ndeah
4991,34,08-Aug-01,6,11513,121,Programación I,2001.0,Indeterminado,Ndeah
4994,34,27-Feb-04,4,11513,122,Sistemas de Procesamiento de Datos,2001.0,Indeterminado,Ndeah
5006,34,20-Jul-01,2,11575,123,Matemática,2001.0,Indeterminado,Ndeah
5008,34,18-Jul-01,2,11575,124,Laboratorio de Computación I,2001.0,Indeterminado,Ndeah
5011,34,08-Aug-01,2,11641,121,Programación I,2001.0,Indeterminado,Ndeah
5039,34,16-Jul-01,7,11664,111,Inglés I,2001.0,Indeterminado,Ndeah
5040,34,26-Nov-01,5,11664,112,Inglés II,2001.0,Indeterminado,Ndeah
5041,34,08-Aug-01,2,11664,121,Programación I,2001.0,Indeterminado,Ndeah
5045,34,29-Jul-02,1,11664,121,Programación I,2001.0,Indeterminado,Ndeah
5053,34,30-Jul-02,2,11664,123,Matemática,2001.0,Indeterminado,Ndeah
5054,34,08-Oct-02,2,11664,123,Matemática,2001.0,Indeterminado,Ndeah
5055,34,17-Dec-02,5,11664,123,Matemática,2001.0,Indeterminado,Ndeah
5056,34,08-Aug-01,2,11664,124,Laboratorio de Computación I,2001.0,Indeterminado,Ndeah
5057,34,10-Oct-01,6,11664,124,Laboratorio de Computación I,2001.0,Indeterminado,Ndeah
5058,34,15-Feb-02,2,11664,128,Metodología de la Investigación,2001.0,Indeterminado,Ndeah
5060,34,15-Mar-02,4,11664,128,Metodología de la Investigación,2001.0,Indeterminado,Ndeah
5061,34,11-Dec-02,8,11664,209,Legislación,2001.0,Indeterminado,Ndeah
5062,34,11-Feb-02,7,11672,111,Inglés I,2001.0,Indeterminado,Ndeah
5063,34,11-Mar-02,6,11672,112,Inglés II,2001.0,Indeterminado,Ndeah
5064,34,08-Aug-01,5,11672,121,Programación I,2001.0,Indeterminado,Ndeah
5066,34,14-Mar-02,6,11672,122,Sistemas de Procesamiento de Datos,2001.0,Indeterminado,Ndeah
5067,34,20-Jul-01,2,11672,123,Matemática,2001.0,Indeterminado,Ndeah
5068,34,08-Aug-01,8,11672,123,Matemática,2001.0,Indeterminado,Ndeah
5069,34,18-Jul-01,4,11672,124,Laboratorio de Computación I,2001.0,Indeterminado,Ndeah
5071,34,16-Jul-01,5,11680,111,Inglés I,2001.0,Indeterminado,Ndeah
5072,34,26-Nov-01,6,11680,112,Inglés II,2001.0,Indeterminado,Ndeah
5073,34,08-Aug-01,9,11680,121,Programación I,2001.0,Indeterminado,Ndeah
5077,34,08-Aug-01,6,11680,124,Laboratorio de Computación I,2001.0,Indeterminado,Ndeah
5078,34,12-Dec-01,8,11680,125,Programación II,2001.0,Indeterminado,Ndeah
5079,34,05-Dec-01,7,11680,127,Laboratorio de Computación II,2001.0,Indeterminado,Ndeah
5105,41,10-Dec-02,7,11753,1,Mantenimiento Industrial I,2001.0,Indeterminado,Ndeah
5106,41,14-Mar-03,9,11753,2,Electrotecnia,2001.0,Indeterminado,Ndeah
5107,41,12-Jul-02,2,11753,3,Matemática,2001.0,Indeterminado,Ndeah
5108,41,30-Jul-02,5,11753,3,Matemática,2001.0,Indeterminado,Ndeah
5109,41,01-Aug-02,9,11753,4,Química,2001.0,Indeterminado,Ndeah
5110,41,02-Dec-02,8,11753,5,Relaciones Industriales,2001.0,Indeterminado,Ndeah
5111,41,05-Dec-02,9,11753,6,Informática I,2001.0,Indeterminado,Ndeah
5112,41,21-Feb-03,9,11753,7,Mecánica,2001.0,Indeterminado,Ndeah
5113,41,20-Dec-02,7,11753,8,Sistemas de Representación,2001.0,Indeterminado,Ndeah
5114,41,18-Dec-02,7,11753,9,Conocimiento de los Materiales,2001.0,Indeterminado,Ndeah
5115,41,03-Dec-02,8,11753,10,Hidraúlica y Neumática,2001.0,Indeterminado,Ndeah
5116,41,23-Mar-04,7,11753,11,Mantenimiento Industrial II,2001.0,Indeterminado,Ndeah
5117,41,05-Dec-03,9,11753,12,Elementos de Máquinas,2001.0,Indeterminado,Ndeah
5118,41,12-Feb-04,8,11753,13,Tecnología de Frío y Calor,2001.0,Indeterminado,Ndeah
5119,41,09-Dec-03,8,11753,14,Instalaciones y Máquinas Eléctricas,2001.0,Indeterminado,Ndeah
5120,41,17-Jul-03,8,11753,15,Informática II,2001.0,Indeterminado,Ndeah
5121,41,17-Dec-03,7,11753,16,"Seguridad, Higiene y Protección Ambiental",2001.0,Indeterminado,Ndeah
5122,41,14-Jul-03,5,11753,17,Inglés,2001.0,Indeterminado,Ndeah
5123,41,05-Dec-03,8,11753,18,Costos y Control de Gestión,2001.0,Indeterminado,Ndeah
5124,41,22-Dec-03,8,11753,19,Elementos de Automatización,2001.0,Indeterminado,Ndeah
5125,41,06-Aug-03,8,11753,20,Aseguramiento de la Calidad,2001.0,Indeterminado,Ndeah
5126,41,27-May-04,7,11753,21,Pasantía,2001.0,Indeterminado,Ndeah
5291,84,09-Oct-01,2,11865,101,Álgebra y Geometría(Plan 95),2001.0,Indeterminado,Ndeah
5292,84,10-Dec-01,9,11865,101,Álgebra y Geometría(Plan 95),2001.0,Indeterminado,Ndeah
5293,84,10-Aug-01,6,11865,121,Introducción a la Producción Agraria,2001.0,Indeterminado,Ndeah
5295,84,12-Dec-01,2,11865,123,Instalaciones Agrarias(Plan 95),2001.0,Indeterminado,Ndeah
5769,84,07-May-02,8,12014,111,Inglés  I,2001.0,Indeterminado,Ndeah
5879,84,12-Oct-01,2,12061,121,Introducción a la Producción Agraria,2001.0,Indeterminado,Ndeah
5881,84,14-Dec-01,2,12061,121,Introducción a la Producción Agraria,2001.0,Indeterminado,Ndeah
5974,84,20-Jul-01,7,12103,121,Introducción a la Producción Agraria,2001.0,Indeterminado,Ndeah
6159,24,05-Dec-01,1,12165,121,Ingeniería Industrial I,2001.0,Indeterminado,Ndeah
6160,24,12-Dec-01,4,12165,121,Ingeniería Industrial I,2001.0,Indeterminado,Ndeah
6161,24,10-Dec-01,8,12165,124,Diseño Industrial,2001.0,Indeterminado,Ndeah
6162,24,13-Mar-02,4,12165,125,Informática I,2001.0,Indeterminado,Ndeah
6163,24,26-Nov-01,2,12173,101,Álgebra y Geometría Analítica,2001.0,Indeterminado,Ndeah
6164,24,03-Dec-01,7,12173,124,Diseño Industrial,2001.0,Indeterminado,Ndeah
6166,24,13-Mar-02,8,12173,125,Informática I,2001.0,Indeterminado,Ndeah
6395,24,10-Dec-01,7,12254,124,Diseño Industrial,2001.0,Indeterminado,Ndeah
6862,24,03-Dec-01,7,12416,124,Diseño Industrial,2001.0,Indeterminado,Ndeah
6863,41,12-Jul-02,2,12416,3,Matemática,2001.0,Indeterminado,Ndeah
6865,41,01-Aug-02,9,12416,4,Química,2001.0,Indeterminado,Ndeah
6866,24,12-Dec-01,4,12424,121,Ingeniería Industrial I,2001.0,Indeterminado,Ndeah
6867,24,03-Dec-01,8,12424,124,Diseño Industrial,2001.0,Indeterminado,Ndeah
6868,24,05-Dec-01,8,12424,125,Informática I,2001.0,Indeterminado,Ndeah
7042,24,20-Dec-02,6,12463,124,Diseño Industrial,2002.0,Indeterminado,Ndeah
7132,34,31-Jul-02,4,12471,124,Laboratorio de Computación I,2002.0,Indeterminado,Ndeah
7133,34,16-Dec-02,7,12472,111,Inglés I,2002.0,Indeterminado,Ndeah
7134,34,04-Aug-03,6,12472,112,Inglés II,2002.0,Indeterminado,Ndeah
7135,34,10-Oct-02,4,12472,121,Programación I,2002.0,Indeterminado,Ndeah
7138,34,06-Mar-03,4,12472,122,Sistemas de Procesamiento de Datos,2002.0,Indeterminado,Ndeah
7139,34,12-Jul-02,4,12472,123,Matemática,2002.0,Indeterminado,Ndeah
7140,34,10-Jul-02,4,12472,124,Laboratorio de Computación I,2002.0,Indeterminado,Ndeah
7141,34,17-Dec-02,7,12472,125,Programación II,2002.0,Indeterminado,Ndeah
7142,34,10-Dec-02,4,12472,127,Laboratorio de Computación II,2002.0,Indeterminado,Ndeah
7216,34,17-Dec-02,8,12480,104,Estadística,2002.0,Indeterminado,Ndeah
7217,34,09-Dec-02,7,12480,111,Inglés I,2002.0,Indeterminado,Ndeah
7219,34,10-Oct-02,5,12480,121,Programación I,2002.0,Indeterminado,Ndeah
7220,34,08-Oct-02,9,12480,123,Matemática,2002.0,Indeterminado,Ndeah
7222,34,11-Oct-02,8,12480,124,Laboratorio de Computación I,2002.0,Indeterminado,Ndeah
7223,34,03-Dec-02,7,12480,125,Programación II,2002.0,Indeterminado,Ndeah
7224,34,17-Dec-02,3,12480,127,Laboratorio de Computación II,2002.0,Indeterminado,Ndeah
